date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,620.25,625.45,617.55,623.8,6047062
2021-01-04 00:00:00+05:30,627.8,633.0,621.3,624.7,14068156
2021-01-05 00:00:00+05:30,618.0,667.9,618.0,664.45,37973963
2021-01-06 00:00:00+05:30,662.0,667.15,649.15,654.25,20829645
2021-01-07 00:00:00+05:30,659.0,676.5,659.0,671.1,17887570
2021-01-08 00:00:00+05:30,678.0,678.85,668.5,672.7,12272794
2021-01-11 00:00:00+05:30,676.0,676.65,660.15,666.95,7928365
2021-01-12 00:00:00+05:30,661.3,685.0,659.25,675.7,13301893
2021-01-13 00:00:00+05:30,676.0,691.2,669.05,687.8,15645903
2021-01-14 00:00:00+05:30,678.5,687.8,674.65,676.0,9337503
2021-01-15 00:00:00+05:30,677.6,682.95,669.6,674.85,12339771
2021-01-18 00:00:00+05:30,674.45,675.0,651.15,657.0,13460603
2021-01-19 00:00:00+05:30,663.55,671.95,659.75,668.75,9010539
2021-01-20 00:00:00+05:30,664.0,680.95,664.0,675.75,9980614
2021-01-21 00:00:00+05:30,680.75,695.0,669.75,675.85,15849438
2021-01-22 00:00:00+05:30,670.0,673.9,638.8,644.5,21392223
2021-01-25 00:00:00+05:30,654.0,668.0,639.35,658.4,21325345
2021-01-27 00:00:00+05:30,659.95,663.8,627.4,632.1,24462588
2021-01-28 00:00:00+05:30,622.0,674.7,616.0,670.7,64303975
2021-01-29 00:00:00+05:30,671.0,675.85,653.0,662.9,31273252
2021-02-01 00:00:00+05:30,665.0,717.0,654.35,709.35,30648270
2021-02-02 00:00:00+05:30,719.25,744.95,704.2,714.2,28703320
2021-02-03 00:00:00+05:30,720.0,736.8,715.55,733.8,23541361
2021-02-04 00:00:00+05:30,730.0,745.5,720.6,743.9,20490289
2021-02-05 00:00:00+05:30,749.0,766.3,717.0,719.6,31121503
2021-02-08 00:00:00+05:30,726.0,747.8,726.0,736.15,15662890
2021-02-09 00:00:00+05:30,735.75,750.0,726.2,742.5,22307807
2021-02-10 00:00:00+05:30,741.55,746.4,726.1,734.8,15140744
2021-02-11 00:00:00+05:30,731.0,744.15,731.0,740.1,11897710
2021-02-12 00:00:00+05:30,735.5,754.7,734.55,750.4,15668442
2021-02-15 00:00:00+05:30,759.9,799.0,753.9,794.0,20648115
2021-02-16 00:00:00+05:30,799.0,799.0,767.0,775.05,23968943
2021-02-17 00:00:00+05:30,774.0,785.0,764.3,777.75,16956357
2021-02-18 00:00:00+05:30,775.0,782.0,764.0,777.0,19685663
2021-02-19 00:00:00+05:30,772.9,777.2,741.35,749.65,15634787
2021-02-22 00:00:00+05:30,749.65,749.85,715.0,719.45,18123202
2021-02-23 00:00:00+05:30,732.35,734.95,712.6,715.95,16804763
2021-02-24 00:00:00+05:30,722.0,754.9,717.05,749.4,11207286
2021-02-25 00:00:00+05:30,765.0,783.5,762.15,770.65,26635119
2021-02-26 00:00:00+05:30,746.0,758.7,718.65,724.8,31306177
2021-03-01 00:00:00+05:30,738.0,743.5,722.25,728.55,14301187
2021-03-02 00:00:00+05:30,730.45,740.5,722.0,731.25,14503453
2021-03-03 00:00:00+05:30,740.5,760.8,735.1,753.95,13603791
2021-03-04 00:00:00+05:30,731.1,751.45,731.1,736.8,16896947
2021-03-05 00:00:00+05:30,732.0,744.1,720.5,730.75,16358252
2021-03-08 00:00:00+05:30,735.0,752.5,732.0,743.3,13898556
2021-03-09 00:00:00+05:30,758.7,758.7,740.0,745.45,18951683
2021-03-10 00:00:00+05:30,750.5,765.7,749.15,760.75,13377990
2021-03-12 00:00:00+05:30,772.6,776.6,745.0,750.6,16343307
2021-03-15 00:00:00+05:30,754.0,754.0,716.65,744.4,22466579
2021-03-16 00:00:00+05:30,751.0,752.0,735.95,737.75,11358574
2021-03-17 00:00:00+05:30,739.0,742.0,724.7,727.9,12380976
2021-03-18 00:00:00+05:30,736.0,743.1,707.25,718.75,12261544
2021-03-19 00:00:00+05:30,709.0,729.35,703.5,726.25,20377672
2021-03-22 00:00:00+05:30,719.0,730.0,709.3,716.2,14802230
2021-03-23 00:00:00+05:30,718.0,739.5,714.1,730.55,15949688
