,stock_id,trigger_prices,percentage_change,TakeProfit,Stop Loss,Last High,trade_token,number_of_stocks,per_stock_value,Value_Stock,Number_of_Stocks,Order_Placed,buy_price,buying_time,SELL_price,selling_time,SELL_Order_Placed
0,MAZDOCK-EQ,1888.05,1.78,1970.4525,1739.387,617.95,509,13.0,25000.0,24544.65,2,TRUE,1897.15,2023-10-26 15:15:17.681089,1980.55,2023-10-31 12:18:57.164507,TRUE
1,AXISBANK-EQ,971.75,1.71,1020.3375,949.9729,1734.95,5900,26.0,25000.0,25265.5,2,TRUE,971.65,2023-10-26 15:15:17.837305,,,FALSE
2,CROMPTON-EQ,287.65,1.13,302.0325,277.48315,4899.65,17094,87.0,25000.0,25025.55,2,TRUE,287.55,2023-10-26 15:15:17.946779,277.25,2023-11-01 13:19:37.751563,TRUE
3,ITC-EQ,435.05,0.54,456.8025,426.409425,2489.75,1660,57.0,25000.0,24797.85,2,TRUE,434.85,2023-10-26 15:15:18.071767,426.1,2023-11-01 13:42:38.350374,TRUE
4,HDFCLIFE-EQ,619.75,2.0,650.7375,599.848875,623.55,467,40.0,25000.0,24790.0,2,FALSE,,,,,FALSE
5,KOTAKBANK-EQ,1736.6,1.11,1823.43,1685.8674,1735.95,1922,14.0,25000.0,24312.4,2,FALSE,,,,,FALSE
6,CIPLA-EQ,1203.05,0.8,1263.2025,1175.73375,1208.7,694,20.0,25000.0,24061.0,2,FALSE,,,,,FALSE
7,BPCL-EQ,349.45,0.74,366.9225,336.59435,358.25,526,71.0,25000.0,24810.95,2,TRUE,358.6,2023-11-01 11:04:59.107533,,,FALSE
8,TECHM-EQ,1133.8,0.61,1190.49,1113.82675,1138.0,13538,22.0,25000.0,24943.6,2,FALSE,,,,,FALSE
9,ULTRACEMCO-EQ,8437.1,0.42,8858.955,8185.153825,8445.0,11532,2.0,25000.0,16874.2,2,FALSE,,,,,FALSE
10,HINDUNILVR-EQ,2483.35,0.18,2607.5175,2458.7064,2493.95,1394,10.0,25000.0,24833.5,2,FALSE,,,,,FALSE
11,SUNPHARMA-EQ,1118.25,2.72,1174.1625000000000,1066.747475,1132.55,3351,22.0,25000.0,24601.5,0,FALSE,,,,,FALSE
12,BPCL-EQ,357.1,2.25,374.95500000000000,336.59435000000000,358.75,526,70.0,25000.0,24997.0,0,FALSE,,,,,FALSE
13,RELIANCE-EQ,2293.8,0.26,2408.4900000000000,2266.545075,2317.5,2885,10.0,25000.0,22938.0,0,FALSE,,,,,FALSE
14,ICICIBANK-EQ,915.3,-0.01,961.0650000000000,906.8377,917.6,4963,27.0,25000.0,24713.1,0,FALSE,,,,,FALSE
15,HDFCBANK-EQ,1474.7,-0.12,1548.4350000000000,1459.70715,1477.0,1333,16.0,25000.0,23595.2,0,FALSE,,,,,FALSE
