,stock_id,trigger_prices,percentage_change,TakeProfit,Stop Loss,Last High,trade_token,number_of_stocks,per_stock_value,Value_Stock,Number_of_Stocks_Balance,Order_Placed,SELL_Order_Placed
0,BRITANNIA-EQ,4527.35,2.96,4753.717500000001,4341.178449999999,4568.8,547,5.0,25000.0,22636.75,0,False,False
1,APOLLOHOSP-EQ,4887.1,1.89,5131.455000000001,4782.815,4891.35,157,5.0,25000.0,24435.5,0,False,False
2,EICHERMOT-EQ,3340.2,1.77,3507.21,3270.0875,3345.0,910,7.0,25000.0,23381.399999999998,0,False,False
3,TATASTEEL-EQ,118.3,1.46,124.215,114.4281,118.55,3499,211.0,25000.0,24961.3,0,False,False
4,SUNPHARMA-EQ,1131.0,1.33,1187.55,1066.747475,1137.55,3351,22.0,25000.0,24882.0,0,False,False
5,M&M-EQ,1471.3,1.15,1544.865,1447.825,1477.5,2031,16.0,25000.0,23540.8,0,False,False
6,RELIANCE-EQ,2320.25,0.99,2436.2625000000003,2271.7871999999998,2324.3,2885,10.0,25000.0,23202.5,0,False,False
7,SBIN-EQ,571.7,0.94,600.2850000000001,562.3052749999999,575.45,3045,43.0,25000.0,24583.100000000002,0,False,False
8,TCS-EQ,3359.6,0.87,3527.58,3306.0334999999995,3375.95,11536,7.0,25000.0,23517.2,0,False,False
9,ITC-EQ,431.4,0.77,452.96999999999997,424.86175,432.7,1660,57.0,25000.0,24589.8,0,False,False
10,KOTAKBANK-EQ,1737.2,0.74,1824.0600000000002,1714.2747249999998,1758.65,1922,14.0,25000.0,24320.8,0,False,False
11,HINDUNILVR-EQ,2487.95,0.64,2612.3475,2459.60505,2490.0,1394,10.0,25000.0,24879.5,0,False,False
